"","DATE","water_date","PRCP"
"707",2009-09-06,2009-09-06,0.49
"708",2009-09-07,2009-09-07,0.08
"709",2009-09-08,2009-09-08,0.01
"710",2009-09-09,2009-09-09,0.01
"711",2009-09-10,2009-09-10,0
"712",2009-09-11,2009-09-11,0
"713",2009-09-12,2009-09-12,0.01
"714",2009-09-13,2009-09-13,0.01
"715",2009-09-14,2009-09-14,0.01
"716",2009-09-15,2009-09-15,0
"717",2009-09-16,2009-09-16,0
"718",2009-09-17,2009-09-17,0.33
"719",2009-09-18,2009-09-18,0.01
"720",2009-09-19,2009-09-19,0.06
"721",2009-09-20,2009-09-20,0.1
"722",2009-09-21,2009-09-21,0
"723",2009-09-22,2009-09-22,0
"724",2009-09-23,2009-09-23,0
"725",2009-09-24,2009-09-24,0
"726",2009-09-25,2009-09-25,0
"727",2009-09-26,2009-09-26,0
"728",2009-09-27,2009-09-27,0
"729",2009-09-28,2009-09-28,0
"730",2009-09-29,2009-09-29,0.35
"731",2009-09-30,2009-09-30,0.13
"732",2010-10-01,2009-10-01,0.03
"733",NA,2009-10-02,0
"734",NA,2009-10-03,0
"735",NA,2009-10-04,0
"736",NA,2009-10-05,0
"737",NA,2009-10-06,0
"738",2010-10-07,2009-10-07,0
"739",2010-10-08,2009-10-08,0.06
"740",2010-10-09,2009-10-09,0.66
"741",2010-10-10,2009-10-10,0.84
"742",2010-10-11,2009-10-11,0.12
"743",2010-10-12,2009-10-12,0
"744",2010-10-13,2009-10-13,0
"745",2010-10-14,2009-10-14,0
"746",2010-10-15,2009-10-15,0.02
"747",2010-10-16,2009-10-16,0
"748",2010-10-17,2009-10-17,0
"749",2010-10-18,2009-10-18,0
"750",2010-10-19,2009-10-19,0
"751",2010-10-20,2009-10-20,0
"752",2010-10-21,2009-10-21,0
"753",2010-10-22,2009-10-22,0.14
"754",2010-10-23,2009-10-23,0.06
"755",2010-10-24,2009-10-24,1.66
"756",2010-10-25,2009-10-25,0.04
"757",2010-10-26,2009-10-26,1.07
"758",2010-10-27,2009-10-27,0.25
"759",2010-10-28,2009-10-28,0.27
"760",2010-10-29,2009-10-29,0.24
"761",2010-10-30,2009-10-30,0.03
"762",2010-10-31,2009-10-31,0.42
"763",2010-11-01,2009-11-01,0.08
"764",2010-11-02,2009-11-02,1.28
"765",2010-11-03,2009-11-03,0
"766",2010-11-04,2009-11-04,0
"767",2010-11-05,2009-11-05,0.01
"768",NA,2009-11-06,0
"769",NA,2009-11-07,0
"770",2010-11-08,2009-11-08,0.12
"771",2010-11-09,2009-11-09,0.32
"772",2010-11-10,2009-11-10,0.55
"773",2010-11-11,2009-11-11,0.02
"774",2010-11-12,2009-11-12,0.28
"775",2010-11-13,2009-11-13,0.03
"776",2010-11-14,2009-11-14,0.43
"777",2010-11-15,2009-11-15,0.04
"778",2010-11-16,2009-11-16,0.25
"779",2010-11-17,2009-11-17,0.03
"780",2010-11-18,2009-11-18,1.32
"781",NA,2009-11-19,0
"782",2010-11-20,2009-11-20,1.57
"783",2010-11-21,2009-11-21,0.05
"784",2010-11-22,2009-11-22,0.26
"785",2010-11-23,2009-11-23,0.57
"786",2010-11-24,2009-11-24,0.08
"787",2010-11-25,2009-11-25,0
"788",2010-11-26,2009-11-26,0.09
"789",2010-11-27,2009-11-27,0.89
"790",2010-11-28,2009-11-28,0.54
"791",2010-11-29,2009-11-29,0.11
"792",2010-11-30,2009-11-30,0.5
"793",2010-12-01,2009-12-01,0.95
"794",2010-12-02,2009-12-02,0.04
"795",2010-12-03,2009-12-03,0.34
"796",2010-12-04,2009-12-04,0.02
"797",2010-12-05,2009-12-05,0.01
"798",2010-12-06,2009-12-06,0.06
"799",2010-12-07,2009-12-07,0.03
"800",2010-12-08,2009-12-08,1.17
"801",2010-12-09,2009-12-09,0.52
"802",2010-12-10,2009-12-10,1.11
"803",2010-12-11,2009-12-11,0.44
"804",2010-12-12,2009-12-12,0.45
"805",2010-12-13,2009-12-13,0.92
"806",2010-12-14,2009-12-14,0.82
"807",2010-12-15,2009-12-15,0.32
"808",2010-12-16,2009-12-16,0.22
"809",2010-12-17,2009-12-17,0.02
"810",2010-12-18,2009-12-18,0.44
"811",2010-12-19,2009-12-19,0.43
"812",2010-12-20,2009-12-20,0.94
"813",2010-12-21,2009-12-21,0.67
"814",2010-12-22,2009-12-22,0.16
"815",2010-12-23,2009-12-23,0.07
"816",2010-12-24,2009-12-24,0
"817",2010-12-25,2009-12-25,0.42
"818",2010-12-26,2009-12-26,0.94
"819",2010-12-27,2009-12-27,0.23
"820",2010-12-28,2009-12-28,0.95
"821",2010-12-29,2009-12-29,2.37
"822",2010-12-30,2009-12-30,0.16
"823",2010-12-31,2009-12-31,0.03
"824",2010-01-01,2010-01-01,0.84
"825",2010-01-02,2010-01-02,0.34
"826",2010-01-03,2010-01-03,0.02
"827",2010-01-04,2010-01-04,0.03
"828",2010-01-05,2010-01-05,0.38
"829",2010-01-06,2010-01-06,2.26
"830",2010-01-07,2010-01-07,0.09
"831",2010-01-08,2010-01-08,0.23
"832",2010-01-09,2010-01-09,0.38
"833",2010-01-10,2010-01-10,0.02
"834",2010-01-11,2010-01-11,0.01
"835",2010-01-12,2010-01-12,1.14
"836",2010-01-13,2010-01-13,0.91
"837",2010-01-14,2010-01-14,0.28
"838",2010-01-15,2010-01-15,0.01
"839",2010-01-16,2010-01-16,2.25
"840",2010-01-17,2010-01-17,0.28
"841",2010-01-18,2010-01-18,0.46
"842",2010-01-19,2010-01-19,0.28
"843",2010-01-20,2010-01-20,0.19
"844",2010-01-21,2010-01-21,0.17
"845",2010-01-22,2010-01-22,0.32
"846",2010-01-23,2010-01-23,0.13
"847",2010-01-24,2010-01-24,0.07
"848",2010-01-25,2010-01-25,0.79
"849",2010-01-26,2010-01-26,0.07
"850",2010-01-27,2010-01-27,0.01
"851",2010-01-28,2010-01-28,0
"852",2010-01-29,2010-01-29,0
"853",2010-01-30,2010-01-30,0.14
"854",2010-01-31,2010-01-31,0.13
"855",2010-02-01,2010-02-01,0.13
"856",2010-02-02,2010-02-02,0.33
"857",2010-02-03,2010-02-03,0.22
"858",2010-02-04,2010-02-04,0.41
"859",2010-02-05,2010-02-05,0.4
"860",2010-02-06,2010-02-06,0.14
"861",2010-02-07,2010-02-07,0.2
"862",2010-02-08,2010-02-08,0.02
"863",2010-02-09,2010-02-09,0
"864",2010-02-10,2010-02-10,0
"865",2010-02-11,2010-02-11,0.29
"866",2010-02-12,2010-02-12,0.71
"867",2010-02-13,2010-02-13,0.46
"868",2010-02-14,2010-02-14,0.73
"869",2010-02-15,2010-02-15,0.02
"870",2010-02-16,2010-02-16,0.31
"871",2010-02-17,2010-02-17,0.02
"872",2010-02-18,2010-02-18,0
"873",2010-02-19,2010-02-19,0
"874",2010-02-20,2010-02-20,0
"875",2010-02-21,2010-02-21,0
"876",2010-02-22,2010-02-22,0
"877",2010-02-23,2010-02-23,0.09
"878",2010-02-24,2010-02-24,0.73
"879",2010-02-25,2010-02-25,0.09
"880",NA,2010-02-26,0
"881",NA,2010-02-27,0
"882",NA,2010-02-28,0
"883",NA,2010-03-01,0
"884",2010-03-02,2010-03-02,0.06
"885",2010-03-03,2010-03-03,0.27
"886",2010-03-04,2010-03-04,0.02
"887",2010-03-05,2010-03-05,0.01
"888",2010-03-06,2010-03-06,0
"889",2010-03-07,2010-03-07,0
"890",2010-03-08,2010-03-08,0.26
"891",2010-03-09,2010-03-09,0.07
"892",2010-03-10,2010-03-10,0.68
"893",2010-03-11,2010-03-11,0.11
"894",2010-03-12,2010-03-12,2.29
"895",2010-03-13,2010-03-13,0.38
"896",2010-03-14,2010-03-14,0
"897",2010-03-15,2010-03-15,0
"898",2010-03-16,2010-03-16,0
"899",2010-03-17,2010-03-17,0.3
"900",2010-03-18,2010-03-18,0.01
"901",2010-03-19,2010-03-19,0
"902",2010-03-20,2010-03-20,0
"903",2010-03-21,2010-03-21,0.12
"904",2010-03-22,2010-03-22,0.67
"905",2010-03-23,2010-03-23,0.05
"906",2010-03-24,2010-03-24,0
"907",2010-03-25,2010-03-25,0.63
"908",2010-03-26,2010-03-26,0.98
"909",2010-03-27,2010-03-27,0.13
"910",2010-03-28,2010-03-28,0.65
"911",2010-03-29,2010-03-29,1.14
"912",2010-03-30,2010-03-30,0.79
"913",2010-03-31,2010-03-31,0.82
"914",2010-04-01,2010-04-01,0.01
"915",2010-04-02,2010-04-02,0.34
"916",2010-04-03,2010-04-03,0.68
"917",2010-04-04,2010-04-04,0.22
"918",2010-04-05,2010-04-05,0.46
"919",2010-04-06,2010-04-06,0.71
"920",2010-04-07,2010-04-07,0.11
"921",2010-04-08,2010-04-08,0.31
"922",2010-04-09,2010-04-09,0.03
"923",2010-04-10,2010-04-10,0
"924",2010-04-11,2010-04-11,0.37
"925",2010-04-12,2010-04-12,0.34
"926",2010-04-13,2010-04-13,0.03
"927",2010-04-14,2010-04-14,0
"928",2010-04-15,2010-04-15,0.27
"929",2010-04-16,2010-04-16,0
"930",2010-04-17,2010-04-17,0.03
"931",2010-04-18,2010-04-18,0
"932",2010-04-19,2010-04-19,0
"933",2010-04-20,2010-04-20,0.39
"934",2010-04-21,2010-04-21,0.33
"935",2010-04-22,2010-04-22,0.05
"936",2010-04-23,2010-04-23,0
"937",2010-04-24,2010-04-24,0.21
"938",2010-04-25,2010-04-25,0
"939",2010-04-26,2010-04-26,0
"940",2010-04-27,2010-04-27,2.13
"941",2010-04-28,2010-04-28,0.25
"942",2010-04-29,2010-04-29,0.28
"943",2010-04-30,2010-04-30,0.12
"944",2010-05-01,2010-05-01,0.3
"945",NA,2010-05-02,0
"946",2010-05-03,2010-05-03,0.51
"947",2010-05-04,2010-05-04,0.22
"948",2010-05-05,2010-05-05,0.14
"949",2010-05-06,2010-05-06,0.02
"950",2010-05-07,2010-05-07,0
"951",2010-05-08,2010-05-08,0
"952",2010-05-09,2010-05-09,0
"953",2010-05-10,2010-05-10,0.57
"954",2010-05-11,2010-05-11,0.01
"955",2010-05-12,2010-05-12,0.01
"956",2010-05-13,2010-05-13,0
"957",2010-05-14,2010-05-14,0
"958",2010-05-15,2010-05-15,0
"959",2010-05-16,2010-05-16,0
"960",2010-05-17,2010-05-17,0
"961",2010-05-18,2010-05-18,0.08
"962",2010-05-19,2010-05-19,0.02
"963",2010-05-20,2010-05-20,0.51
"964",2010-05-21,2010-05-21,0.67
"965",2010-05-22,2010-05-22,1.05
"966",2010-05-23,2010-05-23,0.19
"967",2010-05-24,2010-05-24,0.04
"968",2010-05-25,2010-05-25,0.34
"969",2010-05-26,2010-05-26,0.86
"970",2010-05-27,2010-05-27,0.08
"971",2010-05-28,2010-05-28,0.08
"972",2010-05-29,2010-05-29,0.01
"973",2010-05-30,2010-05-30,0
"974",2010-05-31,2010-05-31,0.3
"975",2010-06-01,2010-06-01,0.02
"976",2010-06-02,2010-06-02,1.57
"977",2010-06-03,2010-06-03,0.49
"978",2010-06-04,2010-06-04,1.2
"979",2010-06-05,2010-06-05,0.05
"980",2010-06-06,2010-06-06,0.01
"981",2010-06-07,2010-06-07,0.58
"982",2010-06-08,2010-06-08,0.03
"983",2010-06-09,2010-06-09,0.5
"984",2010-06-10,2010-06-10,0.35
"985",2010-06-11,2010-06-11,0.08
"986",2010-06-12,2010-06-12,0
"987",2010-06-13,2010-06-13,0
"988",2010-06-14,2010-06-14,0
"989",2010-06-15,2010-06-15,0
"990",2010-06-16,2010-06-16,0.07
"991",2010-06-17,2010-06-17,0.15
"992",2010-06-18,2010-06-18,0
"993",2010-06-19,2010-06-19,0.01
"994",2010-06-20,2010-06-20,0.08
"995",2010-06-21,2010-06-21,0.05
"996",2010-06-22,2010-06-22,0
"997",2010-06-23,2010-06-23,0.02
"998",2010-06-24,2010-06-24,0.01
"999",2010-06-25,2010-06-25,0
"1000",2010-06-26,2010-06-26,0
"1001",2010-06-27,2010-06-27,0
"1002",2010-06-28,2010-06-28,0
"1003",2010-06-29,2010-06-29,0.01
"1004",2010-06-30,2010-06-30,0
"1005",2010-07-01,2010-07-01,0
"1006",2010-07-02,2010-07-02,0.14
"1007",2010-07-03,2010-07-03,0.03
"1008",2010-07-04,2010-07-04,0
"1009",2010-07-05,2010-07-05,0
"1010",2010-07-06,2010-07-06,0
"1011",2010-07-07,2010-07-07,0
"1012",2010-07-08,2010-07-08,0.01
"1013",2010-07-09,2010-07-09,0
"1014",2010-07-10,2010-07-10,0
"1015",2010-07-11,2010-07-11,0
"1016",2010-07-12,2010-07-12,0
"1017",2010-07-13,2010-07-13,0
"1018",2010-07-14,2010-07-14,0
"1019",2010-07-15,2010-07-15,0
"1020",2010-07-16,2010-07-16,0
"1021",2010-07-17,2010-07-17,0
"1022",2010-07-18,2010-07-18,0
"1023",2010-07-19,2010-07-19,0
"1024",2010-07-20,2010-07-20,0
"1025",2010-07-21,2010-07-21,0
"1026",2010-07-22,2010-07-22,0
"1027",2010-07-23,2010-07-23,0
"1028",2010-07-24,2010-07-24,0
"1029",2010-07-25,2010-07-25,0
"1030",2010-07-26,2010-07-26,0
"1031",2010-07-27,2010-07-27,0
"1032",2010-07-28,2010-07-28,0
"1033",2010-07-29,2010-07-29,0
"1034",2010-07-30,2010-07-30,0
"1035",2010-07-31,2010-07-31,0.02
"1036",2010-08-01,2010-08-01,0
"1037",2010-08-02,2010-08-02,0
"1038",2010-08-03,2010-08-03,0
"1039",2010-08-04,2010-08-04,0
"1040",2010-08-05,2010-08-05,0
"1041",2010-08-06,2010-08-06,0
"1042",2010-08-07,2010-08-07,0
"1043",NA,2010-08-08,0
"1044",NA,2010-08-09,0
"1045",NA,2010-08-10,0
"1046",NA,2010-08-11,0
"1047",NA,2010-08-12,0
"1048",NA,2010-08-13,0
"1049",NA,2010-08-14,0
"1050",NA,2010-08-15,0
"1051",2010-08-16,2010-08-16,0.03
"1052",2010-08-17,2010-08-17,0.02
"1053",2010-08-18,2010-08-18,0
"1054",2010-08-19,2010-08-19,0
"1055",2010-08-20,2010-08-20,0
"1056",2010-08-21,2010-08-21,0
"1057",2010-08-22,2010-08-22,0
"1058",2010-08-23,2010-08-23,0
"1059",2010-08-24,2010-08-24,0
"1060",2010-08-25,2010-08-25,0
"1061",2010-08-26,2010-08-26,0
"1062",2010-08-27,2010-08-27,0
"1063",2010-08-28,2010-08-28,0
"1064",2010-08-29,2010-08-29,0
"1065",2010-08-30,2010-08-30,0.31
"1066",2010-08-31,2010-08-31,0.53
"1067",2010-09-01,2010-09-01,0.43
"1068",2010-09-02,2010-09-02,0.06
"1069",2010-09-03,2010-09-03,0.01
"1070",2010-09-04,2010-09-04,0
"1071",2010-09-05,2010-09-05,0
"1072",2010-09-06,2010-09-06,0
"1073",2010-09-07,2010-09-07,0.03
"1074",2010-09-08,2010-09-08,0.12
"1075",2010-09-09,2010-09-09,0.02
"1076",2010-09-10,2010-09-10,0
"1077",2010-09-11,2010-09-11,0
"1078",2010-09-12,2010-09-12,0
"1079",2010-09-13,2010-09-13,0
"1080",2010-09-14,2010-09-14,0
"1081",2010-09-15,2010-09-15,0
"1082",2010-09-16,2010-09-16,0.34
"1083",2010-09-17,2010-09-17,0.19
"1084",2010-09-18,2010-09-18,0.32
"1085",2010-09-19,2010-09-19,1.14
"1086",2010-09-20,2010-09-20,0.49
"1087",2010-09-21,2010-09-21,0.02
"1088",2010-09-22,2010-09-22,0
"1089",2010-09-23,2010-09-23,0
"1090",2010-09-24,2010-09-24,0.09
"1091",2010-09-25,2010-09-25,0.01
"1092",2010-09-26,2010-09-26,0.02
"1093",2010-09-27,2010-09-27,0.18
"1094",2010-09-28,2010-09-28,0
"1095",2010-09-29,2010-09-29,0
"1096",2010-09-30,2010-09-30,0
"1097",2011-10-01,2010-10-01,0.02
"1098",2011-10-02,2010-10-02,1.02
"1099",2011-10-03,2010-10-03,0.44
"1100",2011-10-04,2010-10-04,0.43
"1101",2011-10-05,2010-10-05,1.59
"1102",2011-10-06,2010-10-06,0.09
"1103",2011-10-07,2010-10-07,0.01
"1104",2011-10-08,2010-10-08,0.21
"1105",2011-10-09,2010-10-09,0.12
"1106",2011-10-10,2010-10-10,0.56
"1107",2011-10-11,2010-10-11,0.69
"1108",2011-10-12,2010-10-12,0.07
"1109",2011-10-13,2010-10-13,0.01
"1110",2011-10-14,2010-10-14,0
"1111",2011-10-15,2010-10-15,0
"1112",2011-10-16,2010-10-16,0.11
"1113",2011-10-17,2010-10-17,0.01
"1114",2011-10-18,2010-10-18,0
"1115",2011-10-19,2010-10-19,0
"1116",2011-10-20,2010-10-20,0.01
"1117",2011-10-21,2010-10-21,0
"1118",2011-10-22,2010-10-22,0.02
"1119",2011-10-23,2010-10-23,0.01
"1120",2011-10-24,2010-10-24,0
"1121",2011-10-25,2010-10-25,0
"1122",2011-10-26,2010-10-26,0
"1123",2011-10-27,2010-10-27,0
"1124",2011-10-28,2010-10-28,0
"1125",2011-10-29,2010-10-29,0.34
"1126",2011-10-30,2010-10-30,0.06
"1127",2011-10-31,2010-10-31,0.43
"1128",2011-11-01,2010-11-01,0.01
"1129",2011-11-02,2010-11-02,0
"1130",2011-11-03,2010-11-03,0.7
"1131",2011-11-04,2010-11-04,0.04
"1132",2011-11-05,2010-11-05,0.35
"1133",2011-11-06,2010-11-06,0.17
"1134",2011-11-07,2010-11-07,0.16
"1135",2011-11-08,2010-11-08,0.03
"1136",2011-11-09,2010-11-09,0.05
"1137",2011-11-10,2010-11-10,0.01
"1138",2011-11-11,2010-11-11,0
"1139",2011-11-12,2010-11-12,0.13
"1140",2011-11-13,2010-11-13,0.37
"1141",2011-11-14,2010-11-14,0.02
"1142",2011-11-15,2010-11-15,0.05
"1143",2011-11-16,2010-11-16,0.05
"1144",2011-11-17,2010-11-17,1.05
"1145",2011-11-18,2010-11-18,0.44
"1146",2011-11-19,2010-11-19,0.39
"1147",2011-11-20,2010-11-20,0.1
"1148",2011-11-21,2010-11-21,0.05
"1149",2011-11-22,2010-11-22,0.6
"1150",2011-11-23,2010-11-23,1.07
"1151",NA,2010-11-24,0
"1152",NA,2010-11-25,0
"1153",NA,2010-11-26,0
"1154",NA,2010-11-27,0
"1155",NA,2010-11-28,0
"1156",2011-11-29,2010-11-29,0.02
"1157",2011-11-30,2010-11-30,0.15
"1158",2011-12-01,2010-12-01,0.03
"1159",2011-12-02,2010-12-02,0.01
"1160",2011-12-03,2010-12-03,0.01
"1161",2011-12-04,2010-12-04,0
"1162",NA,2010-12-05,0
"1163",2011-12-06,2010-12-06,0
"1164",2011-12-07,2010-12-07,0
"1165",2011-12-08,2010-12-08,0
"1166",2011-12-09,2010-12-09,0
"1167",2011-12-10,2010-12-10,0
"1168",2011-12-11,2010-12-11,0
"1169",2011-12-12,2010-12-12,0
"1170",2011-12-13,2010-12-13,0
"1171",2011-12-14,2010-12-14,0
"1172",2011-12-15,2010-12-15,0.14
"1173",2011-12-16,2010-12-16,0.05
"1174",2011-12-17,2010-12-17,0
"1175",2011-12-18,2010-12-18,0.03
"1176",2011-12-19,2010-12-19,0.02
"1177",2011-12-20,2010-12-20,0
"1178",2011-12-21,2010-12-21,0
"1179",2011-12-22,2010-12-22,0
"1180",2011-12-23,2010-12-23,0
"1181",2011-12-24,2010-12-24,0
"1182",2011-12-25,2010-12-25,0.04
"1183",2011-12-26,2010-12-26,0.3
"1184",2011-12-27,2010-12-27,0.08
"1185",2011-12-28,2010-12-28,1.65
"1186",2011-12-29,2010-12-29,1.86
"1187",2011-12-30,2010-12-30,2.24
"1188",2011-12-31,2010-12-31,0.25
"1189",2011-01-01,2011-01-01,0.37
"1190",2011-01-02,2011-01-02,0.01
"1191",2011-01-03,2011-01-03,0
"1192",2011-01-04,2011-01-04,0
"1193",2011-01-05,2011-01-05,0.01
"1194",2011-01-06,2011-01-06,0.02
"1195",2011-01-07,2011-01-07,0.01
"1196",2011-01-08,2011-01-08,0.14
"1197",2011-01-09,2011-01-09,0.36
"1198",2011-01-10,2011-01-10,0.16
"1199",2011-01-11,2011-01-11,0.01
"1200",2011-01-12,2011-01-12,0.21
"1201",2011-01-13,2011-01-13,0.45
"1202",2011-01-14,2011-01-14,0.29
"1203",2011-01-15,2011-01-15,0.29
"1204",2011-01-16,2011-01-16,3.8
"1205",2011-01-17,2011-01-17,0.84
"1206",2011-01-18,2011-01-18,0.04
"1207",2011-01-19,2011-01-19,0.36
"1208",2011-01-20,2011-01-20,0.02
"1209",2011-01-21,2011-01-21,0.01
"1210",2011-01-22,2011-01-22,0.08
"1211",2011-01-23,2011-01-23,0.01
"1212",2011-01-24,2011-01-24,0
"1213",2011-01-25,2011-01-25,0.04
"1214",2011-01-26,2011-01-26,0.01
"1215",2011-01-27,2011-01-27,0
"1216",2011-01-28,2011-01-28,0.01
"1217",2011-01-29,2011-01-29,0.06
"1218",2011-01-30,2011-01-30,0.01
"1219",2011-01-31,2011-01-31,0
"1220",2011-02-01,2011-02-01,0.01
"1221",2011-02-02,2011-02-02,0
"1222",2011-02-03,2011-02-03,0
"1223",2011-02-04,2011-02-04,0
"1224",2011-02-05,2011-02-05,0.11
"1225",2011-02-06,2011-02-06,0.06
"1226",2011-02-07,2011-02-07,0.29
"1227",2011-02-08,2011-02-08,0.19
"1228",2011-02-09,2011-02-09,0.07
"1229",2011-02-10,2011-02-10,0.02
"1230",2011-02-11,2011-02-11,0.01
"1231",2011-02-12,2011-02-12,0
"1232",2011-02-13,2011-02-13,0.54
"1233",2011-02-14,2011-02-14,0.14
"1234",2011-02-15,2011-02-15,1.27
"1235",2011-02-16,2011-02-16,0.56
"1236",2011-02-17,2011-02-17,0.35
"1237",2011-02-18,2011-02-18,0.14
"1238",2011-02-19,2011-02-19,0.41
"1239",2011-02-20,2011-02-20,0.02
"1240",2011-02-21,2011-02-21,0.19
"1241",2011-02-22,2011-02-22,0.08
"1242",2011-02-23,2011-02-23,0.15
"1243",2011-02-24,2011-02-24,0.14
"1244",2011-02-25,2011-02-25,0.14
"1245",2011-02-26,2011-02-26,0
"1246",2011-02-27,2011-02-27,0.03
"1247",2011-02-28,2011-02-28,0.55
"1248",2011-03-01,2011-03-01,1.73
"1249",2011-03-02,2011-03-02,0.35
"1250",2011-03-03,2011-03-03,0.39
"1251",2011-03-04,2011-03-04,0.07
"1252",2011-03-05,2011-03-05,0.87
"1253",2011-03-06,2011-03-06,0.01
"1254",2011-03-07,2011-03-07,0.07
"1255",2011-03-08,2011-03-08,0.97
"1256",2011-03-09,2011-03-09,0.34
"1257",2011-03-10,2011-03-10,1.03
"1258",2011-03-11,2011-03-11,0.2
"1259",2011-03-12,2011-03-12,0.04
"1260",2011-03-13,2011-03-13,0.73
"1261",2011-03-14,2011-03-14,0.85
"1262",2011-03-15,2011-03-15,0.41
"1263",2011-03-16,2011-03-16,1.05
"1264",2011-03-17,2011-03-17,0.48
"1265",2011-03-18,2011-03-18,0.37
"1266",2011-03-19,2011-03-19,0.15
"1267",2011-03-20,2011-03-20,0.14
"1268",2011-03-21,2011-03-21,0.43
"1269",2011-03-22,2011-03-22,0.07
"1270",2011-03-23,2011-03-23,0.01
"1271",2011-03-24,2011-03-24,0.25
"1272",2011-03-25,2011-03-25,0.42
"1273",2011-03-26,2011-03-26,0.54
"1274",2011-03-27,2011-03-27,0.78
"1275",2011-03-28,2011-03-28,0.32
"1276",2011-03-29,2011-03-29,0.44
"1277",2011-03-30,2011-03-30,1.24
"1278",2011-03-31,2011-03-31,0.26
"1279",2011-04-01,2011-04-01,0.05
"1280",2011-04-02,2011-04-02,0.44
"1281",2011-04-03,2011-04-03,0.05
"1282",2011-04-04,2011-04-04,0.05
"1283",2011-04-05,2011-04-05,0.89
"1284",2011-04-06,2011-04-06,0.35
"1285",2011-04-07,2011-04-07,0.25
"1286",2011-04-08,2011-04-08,0
"1287",2011-04-09,2011-04-09,0
"1288",2011-04-10,2011-04-10,0.03
"1289",2011-04-11,2011-04-11,0.43
"1290",2011-04-12,2011-04-12,0.02
"1291",2011-04-13,2011-04-13,0.29
"1292",2011-04-14,2011-04-14,0.73
"1293",2011-04-15,2011-04-15,0.41
"1294",2011-04-16,2011-04-16,0.68
"1295",2011-04-17,2011-04-17,0.4
"1296",2011-04-18,2011-04-18,0
"1297",2011-04-19,2011-04-19,0
"1298",2011-04-20,2011-04-20,0
"1299",2011-04-21,2011-04-21,0.02
"1300",2011-04-22,2011-04-22,0.01
"1301",2011-04-23,2011-04-23,0
"1302",2011-04-24,2011-04-24,0.15
"1303",2011-04-25,2011-04-25,0.81
"1304",2011-04-26,2011-04-26,0.38
"1305",2011-04-27,2011-04-27,0.15
"1306",2011-04-28,2011-04-28,0.09
"1307",2011-04-29,2011-04-29,0.38
"1308",2011-04-30,2011-04-30,0.1
"1309",2011-05-01,2011-05-01,0
"1310",2011-05-02,2011-05-02,0
"1311",2011-05-03,2011-05-03,0.09
"1312",2011-05-04,2011-05-04,0.01
"1313",2011-05-05,2011-05-05,0.01
"1314",2011-05-06,2011-05-06,0
"1315",2011-05-07,2011-05-07,0.3
"1316",2011-05-08,2011-05-08,0.22
"1317",2011-05-09,2011-05-09,0.09
"1318",2011-05-10,2011-05-10,0.01
"1319",2011-05-11,2011-05-11,0
"1320",2011-05-12,2011-05-12,0.47
"1321",2011-05-13,2011-05-13,0.02
"1322",2011-05-14,2011-05-14,0.11
"1323",2011-05-15,2011-05-15,0.13
"1324",2011-05-16,2011-05-16,0.06
"1325",2011-05-17,2011-05-17,0.03
"1326",2011-05-18,2011-05-18,0.03
"1327",2011-05-19,2011-05-19,0
"1328",2011-05-20,2011-05-20,0
"1329",2011-05-21,2011-05-21,0.02
"1330",2011-05-22,2011-05-22,0
"1331",2011-05-23,2011-05-23,0.04
"1332",2011-05-24,2011-05-24,0
"1333",2011-05-25,2011-05-25,0.36
"1334",2011-05-26,2011-05-26,0.29
"1335",2011-05-27,2011-05-27,1.21
"1336",2011-05-28,2011-05-28,0.38
"1337",2011-05-29,2011-05-29,0.16
"1338",2011-05-30,2011-05-30,0.1
"1339",2011-05-31,2011-05-31,0.19
"1340",2011-06-01,2011-06-01,0.05
"1341",2011-06-02,2011-06-02,0.17
"1342",2011-06-03,2011-06-03,0.03
"1343",2011-06-04,2011-06-04,0
"1344",2011-06-05,2011-06-05,0
"1345",2011-06-06,2011-06-06,0.02
"1346",2011-06-07,2011-06-07,0.09
"1347",2011-06-08,2011-06-08,0.04
"1348",2011-06-09,2011-06-09,0.03
"1349",2011-06-10,2011-06-10,0
"1350",2011-06-11,2011-06-11,0
"1351",2011-06-12,2011-06-12,0
"1352",2011-06-13,2011-06-13,0.43
"1353",2011-06-14,2011-06-14,0.02
"1354",2011-06-15,2011-06-15,0
"1355",2011-06-16,2011-06-16,0
"1356",2011-06-17,2011-06-17,0
"1357",2011-06-18,2011-06-18,0.02
"1358",2011-06-19,2011-06-19,0.19
"1359",2011-06-20,2011-06-20,0.05
"1360",2011-06-21,2011-06-21,0.01
"1361",2011-06-22,2011-06-22,0
"1362",2011-06-23,2011-06-23,0
"1363",2011-06-24,2011-06-24,0
"1364",2011-06-25,2011-06-25,0
"1365",2011-06-26,2011-06-26,0
"1366",2011-06-27,2011-06-27,0
"1367",2011-06-28,2011-06-28,1
"1368",2011-06-29,2011-06-29,0.03
"1369",2011-06-30,2011-06-30,0.15
"1370",2011-07-01,2011-07-01,0.02
"1371",2011-07-02,2011-07-02,0
"1372",2011-07-03,2011-07-03,0
"1373",2011-07-04,2011-07-04,0
"1374",2011-07-05,2011-07-05,0
"1375",2011-07-06,2011-07-06,0
"1376",2011-07-07,2011-07-07,0
"1377",2011-07-08,2011-07-08,0
"1378",2011-07-09,2011-07-09,0
"1379",2011-07-10,2011-07-10,0
"1380",2011-07-11,2011-07-11,0
"1381",2011-07-12,2011-07-12,0.16
